TABLE_NAME,COLUMN_NAME,IS_PHI,DE_IDENTIFICATION_RULE,MASK_VALUE,REFERENCE_PATIENT_ID,REFERENCE_ENCOUNTER_ID
allergies,patientID,Yes,PATIENT_ID,,,
allergies,drug,No,,,,
allergies,allergy,No,,,,
allergies,encounterId,Yes,ENCOUNTER_ID,,,
allergies,itemID,No,,,,
allergies,displayIndex,No,,,,
allergies,SMDamConceptID,No,,,,
allergies,SMDamConceptIDDesc,No,,,,
allergies,ndc_code,No,,,,
allergies,allergytype,No,,,,
allergies,type,No,,,,
allergies,status,No,,,,
allergies,criticality,No,,,,
allergies,onsetdate,Yes,DATE_OFFSET,,,
annualnotes,encounterId,Yes,ENCOUNTER_ID,,,
annualnotes,notes,Yes,NOTES,,,
annualnotes,type,No,,,,
annualnotes,notesHTML,Yes,NOTES,,,
assessment_notes_history,Id,No,,,,
assessment_notes_history,AsmtId,No,,,,
assessment_notes_history,encounterId,Yes,ENCOUNTER_ID,,,
assessment_notes_history,encDate,Yes,DATE_OFFSET,,,
assessment_notes_history,notes,Yes,NOTES,,,
assessment_notes_history,patientId,Yes,PATIENT_ID,,,
assessment_notes_history,doctorId,No,,,,
assessment_notes_history,facilityId,No,,,,
assessment_notes_history,visitType,No,,,,
assessment_notes_history,LastHistoryDate,Yes,DATE_OFFSET,,,
assessment_notes_history,FavouriteHistoryItem,No,,,,
assessment_notes_history,delFlag,No,,,,
assessment_notes_history,icdCode,No,,,,
assessment_notes_history,icdGroup,No,,,,
billingdata,Id,No,,,,
billingdata,EncounterId,Yes,ENCOUNTER_ID,,,
billingdata,itemID,No,,,,
billingdata,date,Yes,DATE_OFFSET,,,
billingdata,endDate,Yes,DATE_OFFSET,,,
billingdata,endData,Yes,DATE_OFFSET,,,
billingdata,providerId,No,,,,
billingdata,Notes,Yes,NOTES,,,
billingdata,displayIndex,No,,,,
billingdata,deleteFlag,No,,,,
billingdata,Mod1,No,,,,
billingdata,Mod2,No,,,,
billingdata,Mod3,No,,,,
billingdata,units,No,,,,
billingdata,codeFlag,No,,,,
billingdata,Icd1,No,,,,
billingdata,Icd2,No,,,,
billingdata,Icd3,No,,,,
billingdata,Icd4,No,,,,
billingdata,icdcode1,No,,,,
billingdata,icdcode2,No,,,,
billingdata,icdcode3,No,,,,
billingdata,icdcode4,No,,,,
billingdata,vitalCpt,No,,,,
billingdata,Mod4,No,,,,
billingdata,ToothNumber,No,,,,
billingdata,Surface,No,,,,
billingdata,documentedTime,No,,,,
billingdata,ndccode,No,,,,
doctors,doctorID,No,,,,
doctors,deaNo,No,,,,
doctors,FaxNo,Yes,MASK,FAX,,
doctors,speciality,No,,,,
doctors,SpecialityCode,No,,,,
doctors,PrintName,No,,,,
doctors,providerCode,No,,,,
doctors,LicenseKey,Yes,MASK,LICENSEKEY,,
doctors,TaxID,Yes,MASK,TAXID,,
doctors,TaxIDType,No,,,,
doctors,TaxIDSuffix,No,,,,
doctors,EMCProviderID,No,,,,
doctors,OrgType,No,,,,
doctors,FacilityId,No,,,,
doctors,NPI,No,,,,
doctors,UPIN,No,,,,
doctors,MamoCerNo,No,,,,
doctors,MedicareNo,No,,,,
doctors,MedicaidNo,No,,,,
doctors,ChampusNo,No,,,,
doctors,BlueShieldNo,No,,,,
doctors,SpLicNo,No,,,,
doctors,StLicNo,No,,,,
doctors,AneLicNo,No,,,,
doctors,inactive,No,,,,
doctors,TaxonomyCode,No,,,,
doctors,HPSAFlag,No,,,,
doctors,hl7id,No,,,,
doctors,SuprPrId,No,,,,
doctors,DefStaffID,No,,,,
doctors,ClaimPrefix,No,,,,
doctors,CarolinaAccessNo,No,,,,
doctors,KenPAC,No,,,,
doctors,ProfCode,No,,,,
doctors,SPI,Yes,MASK,SPI,,
doctors,ActiveStartDate,Yes,STATIC_OFFSET,,,
doctors,ActiveEndDate,Yes,STATIC_OFFSET,,,
doctors,PostURL,No,,,,
doctors,VisitTypeSearch,No,,,,
doctors,VisitTypeIndicator,No,,,,
doctors,DefRefillRxAssignedTo,No,,,,
doctors,doctorType,No,,,,
doctors,PhotoMedicId,No,,,,
doctors,TakeNewAppts,No,,,,
doctors,AHCAID,No,,,,
doctors,DefaultRefAssignedTo,No,,,,
doctors,ucpid,No,,,,
doctors,GrpNPI,No,,,,
doctors,DefaultFaxRxStyleId,No,,,,
doctors,DefaultPrintRxStyleId,No,,,,
doctors,SeqNoExempted,No,,,,
doctors,EntityType,No,,,,
doctors,ProviderType,No,,,,
doctors,DPSNo,No,,,,
doctors,RxhubId,No,,,,
doctors,ProvRoleType,No,,,,
doctors,DefStaffIDForProcedure,No,,,,
doctors,DefStaffIDForDI,No,,,,
doctors,isResident,No,,,,
doctors,PrescriptiveAuthNo,No,,,,
doctors,isNurseAncProv,No,,,,
doctors,DefRefillRxAssignedTo2,No,,,,
doctors,DefRefillRxAssignedTo3,No,,,,
doctors,regNHX,No,,,,
doctors,p2pimport,No,,,,
doctors,regp2pnpi,No,,,,
doctors,DefaultIncomingRefAssignedTo,No,,,,
doctors,NetAffId,No,,,,
doctors,SS_Deactivated,No,,,,
doctors,CoPayType,No,,,,
doctors,takenewportalmsg,No,,,,
doctors,DefaultPRAssignedTo,No,,,,
doctors,regOA,No,,,,
doctors,diwapptprotectiontype,No,,,,
doctors,defaultstate,No,,,,
doctors,regTV,No,,,,
doctors,reghealow,No,,,,
doctors,JobTitle,No,,,,
doctors,studentAsaProvider,No,,,,
doctors,providerStatus,No,,,,
doctors,providerStatusUpdateDt,Yes,STATIC_OFFSET,,,
doctors,primaryAddress,Yes,MASK,PO_BOX_STREET,,
doctors,practiceStartDt,Yes,STATIC_OFFSET,,,
doctors,personalEmail,Yes,MASK,EMAIL_ID,,
doctors,primaryAddress2,Yes,MASK,PO_BOX_STREET,,
doctors,primaryState,No,,,,
doctors,primaryZIP,Yes,ZIP_CODE,,,
doctors,primaryCity,Yes,MASK,CITY,,
doctors,CAQH,No,,,,
doctors,setSupProviderEachDay,No,,,,
doctors,approvalReq,No,,,,
doctors,DocumentationProviderOnly,No,,,,
doctors,note,Yes,MASK,NOTE,,
doctors,tier,No,,,,
doctors,dispprovideraddlinfoonlock,No,,,,
doctors,isAcceptNewPatient,No,,,,
doctors,default_epa_assigned_to,No,,,,
doctors,organization,No,,,,
doctors,OkProvConCode,No,,,,
doctors,faxDialingCountryId,Yes,MASK,FAX,,
edi_inv_cpt,Id,No,,,,
edi_inv_cpt,InvoiceId,Relationship,,,,
edi_inv_cpt,ItemId,No,,,,
edi_inv_cpt,Code,No,,,,
edi_inv_cpt,PrimaryCode,No,,,,
edi_inv_cpt,Mod1,No,,,,
edi_inv_cpt,Mod2,No,,,,
edi_inv_cpt,Mod3,No,,,,
edi_inv_cpt,Mod4,No,,,,
edi_inv_cpt,SDOS,Yes,DATE_OFFSET,,,
edi_inv_cpt,FromTime,No,,,,
edi_inv_cpt,EDOS,Yes,DATE_OFFSET,,,
edi_inv_cpt,ToTime,No,,,,
edi_inv_cpt,TOS,No,,,,
edi_inv_cpt,pos,No,,,,
edi_inv_cpt,UnitType,No,,,,
edi_inv_cpt,BilledUnitFee,Yes,MASK,BILLEDUNITFEE,,
edi_inv_cpt,Units,No,,,,
edi_inv_cpt,BilledFee,Yes,MASK,BILLEDFEE,,
edi_inv_cpt,NonCoveredCharges,Yes,MASK,NONCOVEREDCHARGES,,
edi_inv_cpt,ICD1,No,,,,
edi_inv_cpt,ICD2,No,,,,
edi_inv_cpt,ICD3,No,,,,
edi_inv_cpt,ICD4,No,,,,
edi_inv_cpt,AllowedUnitFee,Yes,MASK,ALLOWEDUNITFEE,,
edi_inv_cpt,AllowedFee,Yes,MASK,ALLOWEDFEE,,
edi_inv_cpt,PtPortion,Yes,MASK,PTPORTION,,
edi_inv_cpt,TotalPtPortion,Yes,MASK,TOTALPTPORTION,,
edi_inv_cpt,EPSDT,No,,,,
edi_inv_cpt,EMG,No,,,,
edi_inv_cpt,COB,No,,,,
edi_inv_cpt,ReviewByCode,No,,,,
edi_inv_cpt,OrdPrUserId,No,,,,
edi_inv_cpt,OrdPrNPI,No,,,,
edi_inv_cpt,RefPrUserId,No,,,,
edi_inv_cpt,RefPrNPI,No,,,,
edi_inv_cpt,FacilityId,No,,,,
edi_inv_cpt,RendPrUserId,No,,,,
edi_inv_cpt,RendPrNPI,No,,,,
edi_inv_cpt,SupPrUserId,No,,,,
edi_inv_cpt,SupPrNPI,No,,,,
edi_inv_cpt,CliaID,No,,,,
edi_inv_cpt,MammographCertNo,No,,,,
edi_inv_cpt,AnesOxMinutes,No,,,,
edi_inv_cpt,Notes,Yes,NOTES,,,
edi_inv_cpt,BillToIns,Yes,MASK,BILLTOINS,,
edi_inv_cpt,BillToPt,Yes,MASK,BILLTOPT,,
edi_inv_cpt,RevCodeID,No,,,,
edi_inv_cpt,RevCode,No,,,,
edi_inv_cpt,PrescriptionNumber,No,,,,
edi_inv_cpt,ServiceCodeSlNo,No,,,,
edi_inv_cpt,ServiceIDType,No,,,,
edi_inv_cpt,ServiceCode,No,,,,
edi_inv_cpt,cptOrder,No,,,,
edi_inv_cpt,deleteFlag,No,,,,
edi_inv_cpt,displayIndex,No,,,,
edi_inv_cpt,NDCCode,No,,,,
edi_inv_cpt,NDCUnits,No,,,,
edi_inv_cpt,InitialTreatmentDate,Yes,DATE_OFFSET,,,
edi_inv_cpt,HospiceProvInd,No,,,,
edi_inv_cpt,BilledToIdType,No,,,,
edi_inv_cpt,BilledToId,No,,,,
edi_inv_cpt,BilledToIdSeqNo,No,,,,
edi_inv_cpt,FileStatus,No,,,,
edi_inv_cpt,OrgBillToIns,Yes,MASK,ORGBILLTOINS,,
edi_inv_cpt,OrgOrdPrNPI,No,,,,
edi_inv_cpt,OrgRefPrNPI,No,,,,
edi_inv_cpt,OrgRendPrNPI,No,,,,
edi_inv_cpt,OrgSupPrNPI,No,,,,
edi_inv_cpt,ToothNumber,No,,,,
edi_inv_cpt,Surface,No,,,,
edi_inv_cpt,closingId,No,,,,
edi_inv_cpt,NdcUnitPrice,Yes,MASK,NDCUNITPRICE,,
edi_inv_cpt,NdcUom,No,,,,
edi_inv_cpt,RxOrderNumber,No,,,,
edi_inv_cpt,cptBalance,Yes,MASK,CPTBALANCE,,
edi_inv_cpt,OrgItemId,No,,,,
edi_inv_cpt,OrgCode,No,,,,
edi_inv_cpt,OrgBilledUnitFee,Yes,MASK,ORGBILLEDUNITFEE,,
edi_inv_cpt,OrgUnits,No,,,,
edi_inv_cpt,OrgBilledFee,Yes,MASK,ORGBILLEDFEE,,
edi_inv_cpt,CPTReplacementStage,No,,,,
edi_inv_cpt,AnesthesiaStartTime,No,,,,
edi_inv_cpt,AnesthesiaEndTime,No,,,,
edi_inv_cpt,AnesthesiaBaseUnitVal,Yes,MASK,ANESTHESIABASEUNITVAL,,
edi_inv_cpt,AnesBaseUnitVal,Yes,MASK,ANESBASEUNITVAL,,
edi_inv_cpt,OrgDispIndex,No,,,,
edi_inv_cpt,T1015TransitionStage,No,,,,
edi_inv_cpt,HPSAModifierAddedColumn,No,,,,
edi_inv_cpt,OrgBillToInsT1015,No,,,,
edi_inv_cpt,NOCDescription,No,,,,
edi_inv_cpt,IsSedationBilling,No,,,,
edi_inv_cpt,vinvcptid,No,,,,
edi_inv_cpt,dmerccertificationtypecode,No,,,,
edi_inv_cpt,dmercdurationmonths,No,,,,
edi_inv_cpt,dmerccertificationindicator,No,,,,
edi_inv_cpt,dmercconditionindicator1,No,,,,
edi_inv_cpt,dmercconditionindicator2,No,,,,
edi_inv_cpt,referringcliaid,No,,,,
edi_inv_cpt,cmnflag,No,,,,
edi_inv_cpt,documentedTime,No,,,,
edi_inv_cpt,OperatingProviderId,No,,,,
edi_inv_cpt,OperatingProviderNPI,No,,,,
edi_inv_cpt,OtherOperatingProviderId,No,,,,
edi_inv_cpt,OtherOperatingProviderNPI,No,,,,
edi_inv_cpt,timeCaptureType,No,,,,
edi_inv_diagnosis,Id,No,,,,
edi_inv_diagnosis,InvoiceId,Relationship,,,edi_inv_cpt.invoiceid = edi_invoice.id,
edi_inv_diagnosis,ItemId,No,,,,
edi_inv_diagnosis,Code,No,,,,
edi_inv_diagnosis,PrimaryCode,No,,,,
edi_inv_diagnosis,Specify,Yes,NOTES,,,
edi_inv_diagnosis,Notes,Yes,NOTES,,,
edi_inv_diagnosis,icdOrder,No,,,,
edi_inv_diagnosis,snomed,No,,,,
edi_inv_diagnosis,POA,No,,,,
edi_inv_diagnosis,diagnosisType,No,,,,
edi_inv_diagnosis,RFV,No,,,,
edi_invoice,Id,No,,,,
edi_invoice,EncounterId,Yes,ENCOUNTER_ID,,,
edi_invoice,PatientId,Yes,PATIENT_ID,,,
edi_invoice,InvoiceDt,Yes,DATE_OFFSET,,,
edi_invoice,ServiceDt,Yes,DATE_OFFSET,,,
edi_invoice,InvoiceNo,Yes,MASK,INVOICENO,,
edi_invoice,InvoiceAmount,Yes,MASK,INVOICEAMOUNT,,
edi_invoice,Payment,Yes,MASK,PAYMENT,,
edi_invoice,copay,Yes,MASK,COPAY,,
edi_invoice,uncoveredAmount,Yes,MASK,UNCOVEREDAMOUNT,,
edi_invoice,PtResp,Yes,MASK,PTRESP,,
edi_invoice,PtPayment,Yes,MASK,PTPAYMENT,,
edi_invoice,PtBalance,Yes,MASK,PTBALANCE,,
edi_invoice,Balance,Yes,MASK,BALANCE,,
edi_invoice,SuperBillNo,Yes,MASK,SUPERBILLNO,,
edi_invoice,DOSProviderId,No,,,,
edi_invoice,PayToProviderId,No,,,,
edi_invoice,RenProviderId,No,,,,
edi_invoice,SupervisorId,Yes,MASK,SUPERVISORID,,
edi_invoice,GuarantorId,Yes,MASK,GUARANTORID,,
edi_invoice,FileStatus,No,,,,
edi_invoice,SubmissionId,Yes,MASK,SUBMISSIONID,,
edi_invoice,BilledToId,Yes,MASK,BILLEDTOID,,
edi_invoice,BilledToIdType,No,,,,
edi_invoice,PtStmtMsg,Yes,MASK,PTSTMTMSG,,
edi_invoice,PayorType,No,,,,
edi_invoice,FeeSchId,Yes,MASK,FEESCHID,,
edi_invoice,DeleteFlag,No,,,,
edi_invoice,vmid,Yes,MASK,VMID,,
edi_invoice,ModifyDate,Yes,DATE_OFFSET,,,
edi_invoice,Type,No,,,,
edi_invoice,ClaimLock,No,,,,
edi_invoice,IncidentTo,No,,,,
edi_invoice,InvFacilityId,No,,,,
edi_invoice,AddlProvider1,No,,,,
edi_invoice,AddlProvider2,No,,,,
edi_invoice,GivenToCollection,Yes,MASK,GIVENTOCOLLECTION,,
edi_invoice,CollectionCode,Yes,MASK,COLLECTIONCODE,,
edi_invoice,TransferDate,Yes,DATE_OFFSET,,,
edi_invoice,SubmittedToId,No,,,,
edi_invoice,SubmittedToIdType,No,,,,
edi_invoice,SubmittedDate,Yes,DATE_OFFSET,,,
edi_invoice,CurrentCollectionStatus,No,,,,
edi_invoice,MovedToCollectionDate,Yes,DATE_OFFSET,,,
edi_invoice,RemovedFromCollectionDate,Yes,DATE_OFFSET,,,
edi_invoice,FirstSubmittedDate,Yes,DATE_OFFSET,,,
edi_invoice,CreatedBy,No,,,,
edi_invoice,SplitClaimId,Yes,MASK,SPLITCLAIMID,,
edi_invoice,NetPayment,Yes,MASK,NETPAYMENT,,
edi_invoice,LineItemPayersEnabled,Yes,MASK,LINEITEMPAYERSENABLED,,
edi_invoice,LineItemTransitionStage,Yes,MASK,LINEITEMTRANSITIONSTAGE,,
edi_invoice,OrgBilledToId,Yes,MASK,ORGBILLEDTOID,,
edi_invoice,OrgBilledToIdType,No,,,,
edi_invoice,OrgFileStatus,No,,,,
edi_invoice,AllowedFee,Yes,MASK,ALLOWEDFEE,,
edi_invoice,invoicedeptid,Yes,MASK,INVOICEDEPTID,,
edi_invoice,closingId,Yes,MASK,CLOSINGID,,
edi_invoice,collectionstatus,No,,,,
edi_invoice,collcodechgdate,Yes,DATE_OFFSET,,,
edi_invoice,collcode,Yes,MASK,COLLCODE,,
edi_invoice,ApptStartTime,No,,,,
edi_invoice,InvPOS,No,,,,
edi_invoice,PrTransitionStage,No,,,,
edi_invoice,TransformProviderType,No,,,,
edi_invoice,PayToProviderIdOrg,Yes,MASK,PAYTOPROVIDERIDORG,,
edi_invoice,RenProviderIdOrg,Yes,MASK,RENPROVIDERIDORG,,
edi_invoice,SupervisorIdOrg,Yes,MASK,SUPERVISORIDORG,,
edi_invoice,payrejectionstatus,No,,,,
edi_invoice,assignedToId,No,,,,
edi_invoice,assignedTo,Yes,MASK,ASSIGNEDTO,,
edi_invoice,FinanceChrgFlag,No,,,,
edi_invoice,FinanceChrgAddedDt,Yes,DATE_OFFSET,,,
edi_invoice,AnesthesiaFlag,No,,,,
edi_invoice,AssignmentType,No,,,,
edi_invoice,VoidFlag,No,,,,
edi_invoice,queueId,Yes,MASK,QUEUEID,,
edi_invoice,queueName,Yes,MASK,QUEUENAME,,
edi_invoice,ChargeFeeSchId,Yes,MASK,CHARGEFEESCHID,,
edi_invoice,PrimaryInsId,Yes,MASK,PRIMARYINSID,,
edi_invoice,SecondaryInsId,Yes,MASK,SECONDARYINSID,,
edi_invoice,TertiaryInsId,Yes,MASK,TERTIARYINSID,,
edi_invoice,PracticeId,Yes,MASK,PRACTICEID,,
edi_invoice,InvRespPartyId,Yes,MASK,INVRESPPARTYID,,
edi_invoice,InvRespPartyRel,Yes,MASK,INVRESPPARTYREL,,
edi_invoice,InvResourceId,Yes,MASK,INVRESOURCEID,,
edi_invoice,IsGrPt,Yes,MASK,ISGRPT,,
edi_invoice,neano,Yes,MASK,NEANO,,
edi_invoice,episode_id,Yes,MASK,EPISODE_ID,,
edi_invoice,collbalance,Yes,MASK,COLLBALANCE,,
edi_invoice,demandtype,Yes,MASK,DEMANDTYPE,,
edi_invoice,collectiondemanddt,Yes,DATE_OFFSET,,,
edi_invoice,stmtholdtype,No,,,,
edi_invoice,ExcludeFromStmt,Yes,MASK,EXCLUDEFROMSTMT,,
edi_invoice,clmstmtholdreasonid,Yes,MASK,CLMSTMTHOLDREASONID,,
edi_invoice,clmstmthelddate,Yes,DATE_OFFSET,,,
edi_invoice,collectionstagedate,Yes,DATE_OFFSET,,,
edi_invoice,isClaimAppealed,No,,,,
edi_invoice,OperatingProviderId,No,,,,
edi_invoice,OtherOperatingProviderId,No,,,,
edi_invoice,AttendingProviderId,No,,,,
edi_invoice,isopticalclaim,No,,,,
enc,encounterID,Yes,ENCOUNTER_ID,,,
enc,patientID,Yes,PATIENT_ID,,,
enc,doctorID,No,,,,
enc,date,Yes,DATE_OFFSET,,,
enc,time,No,,,,
enc,startTime,No,,,,
enc,endTime,No,,,,
enc,reason,No,,,,
enc,VisitType,No,,,,
enc,roomno,Yes,MASK,ROOMNO,,
enc,STATUS,No,,,,
enc,deleteFlag,No,,,,
enc,encType,No,,,,
enc,encLock,No,,,,
enc,Notes,Yes,NOTES,,,
enc,generalNotes,Yes,NOTES,,,
enc,vmid,Yes,MASK,VMID,,
enc,facilityId,No,,,,
enc,POS,No,,,,
enc,arrivedTime,No,,,,
enc,timeIn,No,,,,
enc,timeOut,No,,,,
enc,stsAfterArr,No,,,,
enc,depTime,No,,,,
enc,stsAfterChkIn,Yes,NOTES,,,
enc,HL7Id,No,,,,
enc,newPt,No,,,,
enc,Dx,Yes,NOTES,,,
enc,reminded,No,,,,
enc,remindedDate,Yes,DATE_OFFSET,,,
enc,VisitCopay,Yes,MASK,VISITCOPAY,,
enc,CopayChanged,No,,,,
enc,ClaimRequired,No,,,,
enc,ClaimReq,No,,,,
enc,VisitTypeOverriden,No,,,,
enc,refPrName,No,,,,
enc,refPrId,No,,,,
enc,PSACGroup,No,,,,
enc,deptid,No,,,,
enc,ResourceId,No,,,,
enc,EncEligibilityStatus,No,,,,
enc,EligibilityMessage,Yes,NOTES,,,
enc,InvoiceId,No,,,,
enc,EligSubId,No,,,,
enc,EncEligibilityStatus2,No,,,,
enc,EligibilityMessage2,Yes,NOTES,,,
enc,EncEligibilityStatus3,No,,,,
enc,EligibilityMessage3,Yes,NOTES,,,
enc,trans_dictation,No,,,,
enc,waitTime,No,,,,
enc,websync,No,,,,
enc,dateIn,Yes,DATE_OFFSET,,,
enc,dateOut,Yes,DATE_OFFSET,,,
enc,notesDoneTime,No,,,,
enc,notesLoginId,No,,,,
enc,notesLogOutId,No,,,,
enc,visittypeid,No,,,,
enc,UTCStartTime,Yes,DATE_OFFSET,,,
enc,UTCEndTime,Yes,DATE_OFFSET,,,
enc,visitstscodeid,No,,,,
enc,practiceId,No,,,,
enc,immnotessendstatus,No,,,,
enc,transitionofcare,No,,,,
enc,prNotesSendStatus,No,,,,
enc,readytobill,No,,,,
enc,reviewbeforebill,No,,,,
enc,EncEligibilityStatus4,Yes,NOTES,,,
enc,EligibilityMessage4,Yes,NOTES,,,
enc,guId,No,,,,
enc,afterCareStatus,No,,,,
enc,callbackHistory,No,,,,
enc,waittime_minutes,No,,,,
enc,medicalmodifieddate,Yes,DATE_OFFSET,,,
enc,surgicalmodifieddate,Yes,DATE_OFFSET,,,
enc,hospmodifieddate,Yes,DATE_OFFSET,,,
enc,familymodifieddate,Yes,DATE_OFFSET,,,
enc,socialmodifieddate,Yes,DATE_OFFSET,,,
enc,allergymodifieddate,Yes,DATE_OFFSET,,,
enc,supproviderid,No,,,,
enc,aftercareSubStatus,No,,,,
enc,ApptStatusReasonRequired,No,,,,
enc,implantmodifieddate,Yes,DATE_OFFSET,,,
enc,dentalmodifieddate,Yes,DATE_OFFSET,,,
enc,ocularhistmodifieddt,Yes,DATE_OFFSET,,,
enc,ocularsurgmodifieddt,Yes,DATE_OFFSET,,,
enc,isShared,No,,,,
enc,gynmodifieddate,Yes,DATE_OFFSET,,,
enc,obmodifieddate,Yes,DATE_OFFSET,,,
enc,qmbflag,No,,,,
enc,bhhistorymodifieddate,Yes,DATE_OFFSET,,,
encaddendums,Id,No,,,,
encaddendums,encounterId,Yes,ENCOUNTER_ID,,,
encaddendums,userId,No,,,,
encaddendums,date,Yes,DATE_OFFSET,,,
encaddendums,time,No,,,,
encaddendums,addendum,Yes,NOTES,,,
encaddendums,regionName,No,,,,
encounterdata,encounterid,Yes,ENCOUNTER_ID,,,
encounterdata,chiefcomplaint,No,,,,
encounterdata,currentmedication,No,,,,
encounterdata,hpinotes,Yes,NOTES,,,
encounterdata,examnotes,Yes,NOTES,,,
encounterdata,asmtnotes,Yes,NOTES,,,
encounterdata,treatnotes,Yes,NOTES,,,
encounterdata,nextappt,Yes,NOTES,,,
encounterdata,nextapptopt,No,,,,
encounterdata,lockenc,No,,,,
encounterdata,addtlnotes,Yes,NOTES,,,
encounterdata,pasthistory,Yes,NOTES,,,
encounterdata,allergiesflag,No,,,,
encounterdata,complaintsflag,No,,,,
encounterdata,historyflag,No,,,,
encounterdata,vitalsflag,No,,,,
encounterdata,medicationflag,No,,,,
encounterdata,copay,Yes,MASK,COPAY,,
encounterdata,paymenttype,No,,,,
encounterdata,checkno,Yes,MASK,CHECKNO,,
encounterdata,notesstatus,No,,,,
encounterdata,displayindex,No,,,,
encounterdata,hospitalizationflag,No,,,,
encounterdata,surgicalflag,No,,,,
encounterdata,pregnantflag,No,,,,
encounterdata,breastfeedingflag,No,,,,
encounterdata,noncontributoryflag,No,,,,
encounterdata,surgicalhistoryflag,No,,,,
encounterdata,hospitalizationhistoryflag,No,,,,
encounterdata,chieficds,No,,,,
encounterdata,historyicds,No,,,,
encounterdata,asmtnotesheader,No,,,,
encounterdata,nextapptreason,Yes,NOTES,,,
encounterdata,followupna,No,,,,
encounterdata,lockordonedate,Yes,DATE_OFFSET,,,
encounterdata,socialhistoryflag,No,,,,
encounterdata,familyhistoryflag,No,,,,
encounterdata,doneby,No,,,,
encounterdata,donedate,Yes,DATE_OFFSET,,,
encounterdata,historyicdids,No,,,,
encounterdata,immunizationsverified,No,,,,
encounterdata,medreconciliationinternalflag,No,,,,
encounterdata,mddatelastseen,Yes,DATE_OFFSET,,,
encounterdata,cancellationreason,No,,,,
encounterdata,transportationrequired,No,,,,
encounterdata,transportationstatus,No,,,,
encounterdata,occhealthtype,No,,,,
encounterdata,noreportedmedhx,No,,,,
encounterdata,nkdaflag,No,,,,
encounterdata,trackingboardnotes_status,No,,,,
encounterdata,initialtreatmentdate,Yes,DATE_OFFSET,,,
encounterdata,implantsflag,No,,,,
encounterdata,invresppartyid,No,,,,
encounterdata,invresppartyrelid,No,,,,
encounterdata,invisgrpt,No,,,,
encounterdata,plverifiedby,No,,,,
encounterdata,plverified,No,,,,
encounterdata,plverifiedon,Yes,DATE_OFFSET,,,
encounterdata,behavioralhistoryverified,No,,,,
encounterdata,asmtnotesheaderhtml,No,,,,
encounterdata,asmtnoteshtml,Yes,NOTES,,,
encounters,Id,No,,,,
encounters,EncounterId,Yes,ENCOUNTER_ID,,,
encounters,ExamId,No,,,,
encounters,PropId,No,,,,
encounters,PropDetailId,No,,,,
encounters,Selection,No,,,,
encounters,Notes,Yes,NOTES,,,
encounters,createDate,Yes,DATE_OFFSET,,,
encounters,displayseq,No,,,,
encounters,notes2,Yes,NOTES,,,
encounters,displaycatseq,No,,,,
encounters,drawingnotes,Yes,NOTES,,,
family,encounterid,Yes,ENCOUNTER_ID,,,
family,itemid,No,,,,
family,name,No,,,,
family,propid,No,,,,
family,selected,No,,,,
family,notes,Yes,NOTES,,,
hcfa,id,No,,,,
hcfa,invid,Relationship,,,hcfa.invid = edi_invoice.id,
hcfa,pical,No,,,,
hcfa,picar,No,,,,
hcfa,ismedicare,No,,,,
hcfa,ismedicaid,No,,,,
hcfa,ischampus,No,,,,
hcfa,ischampva,No,,,,
hcfa,pname,Yes,MASK,PATIENT_NAME,,
hcfa,pdobmm,Yes,MASK,PDOBMM,,
hcfa,pdobdd,Yes,MASK,PDOBDD,,
hcfa,pdobyy,No,,,,
hcfa,psexm,No,,,,
hcfa,psexf,No,,,,
hcfa,insuredname,Yes,MASK,INSUREDNAME,,
hcfa,insuredid,Yes,MASK,INSUREDID,,
hcfa,paddressstreet,Yes,MASK,PO_BOX_STREET,,
hcfa,paddresscity,Yes,MASK,CITY,,
hcfa,paddressstate,No,,,,
hcfa,paddresszip,Yes,ZIP_CODE,,,
hcfa,pphonearea,Yes,MASK,PHONE_NUMBER,,
hcfa,pstatusm,No,,,,
hcfa,prelationself,No,,,,
hcfa,prelationspouse,No,,,,
hcfa,prelationchild,No,,,,
hcfa,prelationother,No,,,,
hcfa,insuredaddstreet,Yes,MASK,PO_BOX_STREET,,
hcfa,insuredaddcity,Yes,MASK,CITY,,
hcfa,insuredaddstate,No,,,,
hcfa,insuredaddzip,Yes,ZIP_CODE,,,
hcfa,iphonearea,Yes,MASK,PHONE_NUMBER,,
hcfa,iphonedigits,Yes,MASK,PHONE_NUMBER,,
hcfa,insuredpolicygroup,Yes,MASK,INSUREDPOLICYGROUP,,
hcfa,idobmm,Yes,MASK,IDOBMM,,
hcfa,idobdd,Yes,MASK,IDOBDD,,
hcfa,idobyy,No,,,,
hcfa,insuredsexm,No,,,,
hcfa,insuredsexf,No,,,,
hcfa,condrelempy,No,,,,
hcfa,condrelempn,No,,,,
hcfa,condrelaccy,No,,,,
hcfa,condrelaccn,No,,,,
hcfa,condrelliabilityy,No,,,,
hcfa,condrelliabilityn,No,,,,
hcfa,dateonsetmm,Yes,DATE_OFFSET,,,
hcfa,dateonsetdd,Yes,DATE_OFFSET,,,
hcfa,dateonsetyy,Yes,DATE_OFFSET,,,
hcfa,datedisfrommm,Yes,DATE_OFFSET,,,
hcfa,datedistomm,Yes,DATE_OFFSET,,,
hcfa,datedisfromdd,Yes,DATE_OFFSET,,,
hcfa,datedistodd,Yes,DATE_OFFSET,,,
